"Environment and Climate Change Canada"
"Monthly Values for January - 2005"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG TROUT LAKE READAC","53.816","-89.896","ON","-23.0","0",NA,"-2.1","0","-37.9","0","",,NA,"22.5","1",NA,"","7","",,NA,"1270.3","0.0","6010739"
"EAR FALLS (AUT)","50.631","-93.221","ON","-18.5","0",NA,"-1.4","0","-40.4","0","",,NA,"21.0","0",NA,"67.0","7","",,NA,"1132.7","0.0","6012199"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-22.5","0",NA,"-1.1","0","-40.1","0","",,NA,"9.4","0",NA,"17.0","4","",,NA,"1254.3","0.0","6014353"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-25.0","0",NA,"-3.6","0","-39.6","0","",,NA,"0.0","0",NA,"","0","",,NA,"1334.1","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-20.8","0",NA,"-1.8","0","-37.3","0","",,NA,"0.0","15",NA,"37.0","0","","",NA,"1201.6","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","-20.7","0","-1.5","-1.9","0","-37.1","0","64.8","0","176.0","48.4","0","181.0","41.0","11","",,NA,"1200.9","0.0","6016527"
"RED LAKE A","51.067","-93.793","ON","-19.8","0","-1.5","-1.7","0","-42.1","0","55.2","0","155.0","42.3","0","158.0","76.0","10","120.9","0","117.0","1171.7","0.0","6016975"
"ATIKOKAN MARMION","48.800","-91.583","ON","",,NA,"",,"",,"60.0","0",NA,"68.4","0",NA,"","9","","",NA,"","","6020384"
"BARWICK","48.633","-93.967","ON","-17.1","0","-1.8","1.0","0","-43.0","0","62.8","0","213.0","62.8","0","211.0","47.0","9","","",NA,"1089.4","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-18.3","0",NA,"-0.4","0","-42.1","0","",,NA,"50.5","2",NA,"53.0","8","",,NA,"1124.7","0.0","6020LPQ"
"FORT FRANCES A","48.650","-93.433","ON","-17.0","0","-1.8","0.0","0","-43.0","0","97.0","0","279.0","97.0","0","279.0","","11","","",NA,"1086.0","0.0","6022476"
"MINE CENTRE","48.767","-92.617","ON","-17.9","0","-2.6","0.0","0","-44.0","0","74.8","0","244.0","74.8","0","241.0","64.0","10","","",NA,"1114.3","0.0","6025203"
"DRYDEN A","49.833","-92.750","ON","-22.4","12","-5.6","-7.4","12","-40.8","12","37.0","13",NA,"25.6","12",NA,"","5","",,NA,"768.1","0.0","6032119"
"DRYDEN 'A' (AUT)","49.832","-92.744","ON","-16.4","15",NA,"-0.6","15","-40.8","15","",,NA,"15.0","14",NA,"","4","",,NA,"549.7","0.0","6032120"
"KENORA A","49.790","-94.365","ON","-18.2","0","-2.2","-1.0","0","-37.2","0","44.8","0","158.0","39.5","0","154.0","31.0","9","",,NA,"1120.9","0.0","6034075"
"RAWSON LAKE","49.650","-93.717","ON","-18.0","0","-2.4","1.0","0","-37.0","0","49.3","0","147.0","49.3","0","174.0","54.0","10","","",NA,"1115.9","0.0","6036904"
"SIOUX LOOKOUT A","50.117","-91.900","ON","-19.3","0","-1.9","-0.5","0","-41.4","0","63.0","0","178.0","58.2","0","167.0","80.0","11","",,NA,"1155.6","0.0","6037775"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-21.8","0",NA,"-0.3","0","-45.1","0","",,NA,"",,NA,"","","",,NA,"1234.5","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-17.1","0",NA,"0.6","0","-35.5","0","",,NA,"51.7","0",NA,"52.0","8","",,NA,"1086.9","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-6.7","0",NA,"3.0","0","-20.8","0","",,NA,"",,NA,"","","",,NA,"766.3","0.0","6041222"
"GERALDTON A","49.783","-86.931","ON","-20.3","0","-1.7","-1.1","0","-44.4","0","46.0","0","108.0","38.6","0","115.0","48.0","10","",,NA,"1186.8","0.0","6042716"
"FLINT","48.350","-89.683","ON","-16.9","0","-2.2","1.0","0","-43.0","0","73.0","0","165.0","73.0","0","164.0","53.0","11","","",NA,"1082.8","0.0","6042MJ7"
"PUKASKWA (AUT)","48.588","-86.295","ON","-13.9","0",NA,"2.4","0","-35.8","0","",,NA,"37.1","0",NA,"","9","",,NA,"989.3","0.0","6046767"
"PUKASKWA NATL PARK","48.600","-86.300","ON","-13.9","0",NA,"2.4","0","-35.8","0","",,NA,"37.0","0",NA,"","9","","",NA,"989.3","0.0","6046770"
"TERRACE BAY A","48.817","-87.100","ON","-16.3","0",NA,"0.8","0","-38.4","0","82.0","0",NA,"82.0","0",NA,"63.0","10","","",NA,"1063.8","0.0","6048231"
